blockSize,gridSize,N,K,max_iter,eps,iterations,ms_total,ms_kernel,ms_h2d,ms_d2h,sse,monotonic,points_per_sec
128,79,10000,4,50,1e-4,3,2.567,1.043,0.618,0.589,9930.135742188,sim,3895597.97
256,40,10000,4,50,1e-4,3,1.814,0.735,0.446,0.511,9930.135742188,sim,5512679.16
512,20,10000,4,50,1e-4,3,2.471,1.025,0.649,0.607,9930.135742188,sim,4046944.56
128,782,100000,8,50,1e-4,3,5.597,2.607,3.567,1.745,99958.171875000,sim,17866714.31
256,391,100000,8,50,1e-4,3,3.015,0.924,0.641,1.131,99958.171875000,sim,33167495.85
512,196,100000,8,50,1e-4,3,5.133,1.402,0.998,1.928,99958.171875000,sim,19481784.53
128,7813,1000000,16,50,1e-4,3,21.696,1.432,1.461,13.746,998722.000000000,sim,46091445.43
256,3907,1000000,16,50,1e-4,3,19.523,1.339,1.312,11.370,998722.000000000,sim,51221636.02
512,1954,1000000,16,50,1e-4,3,17.564,1.579,1.525,9.453,998722.000000000,sim,56934639.03
