blockSize,gridSize,N,K,max_iter,eps,iterations,ms_total,ms_kernel,ms_h2d,ms_d2h,sse,monotonic,points_per_sec
128,782,100000,8,50,1e-4f,3,2.814,0.684,0.768,0.721,99958.171875000,sim,35536602.700782
256,391,100000,8,50,1e-4f,3,2.823,0.674,0.575,0.704,99958.171875000,sim,35423308.537017
512,196,100000,8,50,1e-4f,3,2.890,0.746,0.526,0.708,99958.171875000,sim,34602076.124567
