T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup,points_per_sec
1,dynamic,8,100000,8,50,0.0001,3,3.119527,99960.117168635,1,1.000000,32056141.844581
2,static,0,100000,8,50,0.0001,3,3.651170,99960.117168635,1,0.854391,27388480.952681
2,static,1,100000,8,50,0.0001,3,7.040927,99960.117168634,1,0.443056,14202675.301136
2,static,8,100000,8,50,0.0001,3,3.004403,99960.117168634,1,1.038318,33284482.807400
2,static,32,100000,8,50,0.0001,3,5.027144,99960.117168634,1,0.620537,19892010.254729
2,dynamic,1,100000,8,50,0.0001,3,28.147704,99960.117168634,1,0.110827,3552687.636619
2,dynamic,1,100000,8,50,0.0001,3,27.031200,99960.117168634,1,0.115405,3699428.808192
2,dynamic,8,100000,8,50,0.0001,3,4.657314,99960.117168634,1,0.669812,21471603.589537
2,dynamic,32,100000,8,50,0.0001,3,4.350033,99960.117168634,1,0.717127,22988331.352889
4,static,0,100000,8,50,0.0001,3,4.265273,99960.117168634,1,0.731378,23445158.141108
4,static,1,100000,8,50,0.0001,3,4.377435,99960.117168634,1,0.712638,22844428.301048
4,static,8,100000,8,50,0.0001,3,3.346511,99960.117168634,1,0.932173,29881868.011191
4,static,32,100000,8,50,0.0001,3,6.261911,99960.117168634,1,0.498175,15969565.840204
4,dynamic,1,100000,8,50,0.0001,3,27.425635,99960.117168634,1,0.113745,3646223.688166
4,dynamic,1,100000,8,50,0.0001,3,26.782890,99960.117168634,1,0.116475,3733727.017510
4,dynamic,8,100000,8,50,0.0001,3,16.947530,99960.117168634,1,0.184070,5900564.861074
4,dynamic,32,100000,8,50,0.0001,3,10.455954,99960.117168634,1,0.298349,9563928.839014
8,static,0,100000,8,50,0.0001,3,39.481204,99960.117168634,1,0.079013,2532850.821875
8,static,1,100000,8,50,0.0001,3,4.277475,99960.117168634,1,0.729292,23378278.072929
8,static,8,100000,8,50,0.0001,3,3.574630,99960.117168634,1,0.872685,27974923.278773
8,static,32,100000,8,50,0.0001,3,3.241863,99960.117168634,1,0.962264,30846460.815895
8,dynamic,1,100000,8,50,0.0001,3,41.735477,99960.117168634,1,0.074745,2396043.059482
8,dynamic,1,100000,8,50,0.0001,3,47.244809,99960.117168635,1,0.066029,2116634.655037
8,dynamic,8,100000,8,50,0.0001,3,6.411317,99960.117168634,1,0.486566,15597419.375769
8,dynamic,32,100000,8,50,0.0001,3,50.137198,99960.117168634,1,0.062220,1994527.097426
12,static,0,100000,8,50,0.0001,3,52.465638,99960.117168634,1,0.059458,1906009.415153
12,static,1,100000,8,50,0.0001,3,34.798836,99960.117168634,1,0.089645,2873659.337341
12,static,8,100000,8,50,0.0001,3,32.374693,99960.117168634,1,0.096357,3088832.379044
12,static,32,100000,8,50,0.0001,3,43.963042,99960.117168634,1,0.070958,2274637.865141
12,dynamic,1,100000,8,50,0.0001,3,77.434446,99960.117168634,1,0.040286,1291414.934382
12,dynamic,1,100000,8,50,0.0001,3,34.074748,99960.117168634,1,0.091550,2934724.564948
12,dynamic,8,100000,8,50,0.0001,3,38.318294,99960.117168634,1,0.081411,2609719.524570
12,dynamic,32,100000,8,50,0.0001,3,29.185670,99960.117168634,1,0.106886,3426339.021856
