T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup
1,static,0,100000,8,50,0.0001,3,2.348128,99960.117168635,1,1.0
1,static,0,100000,8,50,0.0001,3,2.952094,99960.117168635,1,0.795411
1,static,1,100000,8,50,0.0001,3,2.835542,99960.117168635,1,0.828106
1,static,8,100000,8,50,0.0001,3,2.062856,99960.117168635,1,1.138290
1,static,32,100000,8,50,0.0001,3,2.737222,99960.117168635,1,0.857851
1,dynamic,0,100000,8,50,0.0001,3,11.089193,99960.117168635,1,0.211749
1,dynamic,1,100000,8,50,0.0001,3,14.174036,99960.117168635,1,0.165664
1,dynamic,8,100000,8,50,0.0001,3,3.188876,99960.117168635,1,0.736350
1,dynamic,32,100000,8,50,0.0001,3,3.681148,99960.117168635,1,0.637879
2,static,0,100000,8,50,0.0001,3,3.693931,99960.117168635,1,0.635672
2,static,1,100000,8,50,0.0001,3,7.841336,99960.117168634,1,0.299455
2,static,8,100000,8,50,0.0001,3,3.987615,99960.117168634,1,0.588855
2,static,32,100000,8,50,0.0001,3,3.952387,99960.117168634,1,0.594104
2,dynamic,0,100000,8,50,0.0001,3,29.650586,99960.117168634,0,0.079193
2,dynamic,1,100000,8,50,0.0001,3,23.248856,99960.117168634,1,0.101000
2,dynamic,8,100000,8,50,0.0001,3,7.217776,99960.117168634,0,0.325326
2,dynamic,32,100000,8,50,0.0001,3,4.332762,99960.117168635,0,0.541947
4,static,0,100000,8,50,0.0001,3,3.013117,99960.117168634,0,0.779302
4,static,1,100000,8,50,0.0001,3,5.040355,99960.117168634,1,0.465866
4,static,8,100000,8,50,0.0001,3,3.415713,99960.117168634,1,0.687449
4,static,32,100000,8,50,0.0001,3,3.169108,99960.117168634,1,0.740943
4,dynamic,0,100000,8,50,0.0001,3,30.458390,99960.117168634,1,0.077093
4,dynamic,1,100000,8,50,0.0001,3,28.397371,99960.117168634,1,0.082688
4,dynamic,8,100000,8,50,0.0001,3,5.026696,99960.117168634,0,0.467131
4,dynamic,32,100000,8,50,0.0001,3,6.700441,99960.117168634,1,0.350444
8,static,0,100000,8,50,0.0001,3,16.757435,99960.117168634,1,0.140125
8,static,1,100000,8,50,0.0001,3,6.593945,99960.117168634,0,0.356104
8,static,8,100000,8,50,0.0001,3,4.169350,99960.117168634,1,0.563188
8,static,32,100000,8,50,0.0001,3,3.530077,99960.117168634,1,0.665178
8,dynamic,0,100000,8,50,0.0001,3,25.841115,99960.117168634,1,0.090868
8,dynamic,1,100000,8,50,0.0001,3,32.592917,99960.117168634,1,0.072044
8,dynamic,8,100000,8,50,0.0001,3,4.562811,99960.117168634,1,0.514623
8,dynamic,32,100000,8,50,0.0001,3,4.187882,99960.117168634,1,0.560696
16,static,0,100000,8,50,0.0001,3,4.701411,99960.117168634,0,0.499452
16,static,1,100000,8,50,0.0001,3,7.511850,99960.117168634,1,0.312590
16,static,8,100000,8,50,0.0001,3,5.449214,99960.117168634,1,0.430911
16,static,32,100000,8,50,0.0001,3,4.805398,99960.117168634,1,0.488644
16,dynamic,0,100000,8,50,0.0001,3,32.463476,99960.117168635,0,0.072331
16,dynamic,1,100000,8,50,0.0001,3,26.342390,99960.117168634,1,0.089139
16,dynamic,8,100000,8,50,0.0001,3,6.632164,99960.117168635,0,0.354052
16,dynamic,32,100000,8,50,0.0001,3,4.647369,99960.117168634,0,0.505260
