T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup,points_per_sec
1,static,8,1000000,16,50,0.0001,3,41.688031,999182.690582206,1,1.000000,23987700.450520
2,static,0,1000000,16,50,0.0001,3,29.204724,999182.690582215,1,1.427441,34241035.799551
2,static,1,1000000,16,50,0.0001,3,47.743465,999182.690582210,1,0.873167,20945274.918777
2,static,8,1000000,16,50,0.0001,3,38.523573,999182.690582208,1,1.082143,25958132.180522
2,static,32,1000000,16,50,0.0001,3,29.241277,999182.690582209,1,1.425657,34198232.861034
2,dynamic,1,1000000,16,50,0.0001,3,202.147952,999182.690582214,1,0.206225,4946871.784286
2,dynamic,1,1000000,16,50,0.0001,3,213.186675,999182.690582215,1,0.195547,4690724.689993
2,dynamic,8,1000000,16,50,0.0001,3,51.092107,999182.690582209,1,0.815939,19572494.827821
2,dynamic,32,1000000,16,50,0.0001,3,32.255822,999182.690582209,1,1.292419,31002155.207826
4,static,0,1000000,16,50,0.0001,3,42.337834,999182.690582204,1,0.984652,23619536.134040
4,static,1,1000000,16,50,0.0001,3,53.466436,999182.690582218,1,0.779705,18703322.585407
4,static,8,1000000,16,50,0.0001,3,35.555774,999182.690582220,1,1.172469,28124827.208093
4,static,32,1000000,16,50,0.0001,3,21.436552,999182.690582219,1,1.944717,46649293.225888
4,dynamic,1,1000000,16,50,0.0001,3,217.473710,999182.690582218,1,0.191692,4598256.957128
4,dynamic,1,1000000,16,50,0.0001,3,221.863393,999182.690582222,1,0.187900,4507278.043837
4,dynamic,8,1000000,16,50,0.0001,3,46.924898,999182.690582219,1,0.888399,21310648.347067
4,dynamic,32,1000000,16,50,0.0001,3,24.687194,999182.690582221,1,1.688650,40506831.193533
8,static,0,1000000,16,50,0.0001,3,77.860460,999182.690582206,1,0.535420,12843489.493897
8,static,1,1000000,16,50,0.0001,3,83.460755,999182.690582211,1,0.499493,11981679.293460
8,static,8,1000000,16,50,0.0001,3,67.936683,999182.690582210,1,0.613631,14719588.237771
8,static,32,1000000,16,50,0.0001,3,38.756296,999182.690582211,1,1.075645,25802259.328394
8,dynamic,1,1000000,16,50,0.0001,3,211.522666,999182.690582214,1,0.197085,4727625.738227
8,dynamic,1,1000000,16,50,0.0001,3,177.672426,999182.690582214,1,0.234634,5628335.372648
8,dynamic,8,1000000,16,50,0.0001,3,44.901919,999182.690582213,1,0.928424,22270763.082531
8,dynamic,32,1000000,16,50,0.0001,3,77.218072,999182.690582212,1,0.539874,12950336.289153
12,static,0,1000000,16,50,0.0001,3,54.803062,999182.690582208,1,0.760688,18247155.606013
12,static,1,1000000,16,50,0.0001,3,57.417696,999182.690582206,1,0.726048,17416233.490107
12,static,8,1000000,16,50,0.0001,3,70.398368,999182.690582205,1,0.592173,14204874.749369
12,static,32,1000000,16,50,0.0001,3,55.081375,999182.690582205,1,0.756844,18154957.097567
12,dynamic,1,1000000,16,50,0.0001,3,156.738102,999182.690582212,1,0.265973,6380069.601711
12,dynamic,1,1000000,16,50,0.0001,3,169.134781,999182.690582208,1,0.246478,5912444.466405
12,dynamic,8,1000000,16,50,0.0001,3,49.302481,999182.690582209,1,0.845556,20282954.928779
12,dynamic,32,1000000,16,50,0.0001,3,41.674387,999182.690582205,1,1.000327,23995553.911807
