blockSize,gridSize,N,K,max_iter,eps,iterations,ms_total,ms_kernel,ms_h2d,ms_d2h,sse,monotonic,points_per_sec
128,7813,1000000,16,50,1e-4f,3,15.126,0.912,1.016,4.298,998722.000000000,sim,66111331.482216
256,3907,1000000,16,50,1e-4f,3,15.429,1.186,1.484,4.294,998722.000000000,sim,64813014.453302
512,1954,1000000,16,50,1e-4f,3,15.949,0.911,0.838,4.831,998722.000000000,sim,62699855.790332
