T,schedule,chunk,N,K,max_iter,eps,iterations,ms,sse,monotonic,speedup
1,static,0,1000000,16,50,0.0001,3,48.835823,999182.690582206,1,1.0
1,static,0,1000000,16,50,0.0001,3,44.773971,999182.690582206,1,1.090719
1,static,1,1000000,16,50,0.0001,3,57.745656,999182.690582206,1,0.845706
1,static,8,1000000,16,50,0.0001,3,52.691868,999182.690582206,1,0.926819
1,static,32,1000000,16,50,0.0001,3,46.968166,999182.690582206,1,1.039764
1,dynamic,0,1000000,16,50,0.0001,3,188.549613,999182.690582206,1,0.259008
1,dynamic,1,1000000,16,50,0.0001,3,179.260535,999182.690582206,1,0.272429
1,dynamic,8,1000000,16,50,0.0001,3,67.103253,999182.690582206,1,0.727771
1,dynamic,32,1000000,16,50,0.0001,3,54.171644,999182.690582206,1,0.901502
2,static,0,1000000,16,50,0.0001,3,30.457689,999182.690582215,1,1.603399
2,static,1,1000000,16,50,0.0001,3,52.097155,999182.690582210,1,0.937399
2,static,8,1000000,16,50,0.0001,3,30.243657,999182.690582208,1,1.614746
2,static,32,1000000,16,50,0.0001,3,30.530917,999182.690582209,1,1.599553
2,dynamic,0,1000000,16,50,0.0001,3,205.648593,999182.690582211,1,0.237472
2,dynamic,1,1000000,16,50,0.0001,3,209.710035,999182.690582213,1,0.232873
2,dynamic,8,1000000,16,50,0.0001,3,48.960925,999182.690582208,1,0.997445
2,dynamic,32,1000000,16,50,0.0001,3,35.221243,999182.690582207,1,1.386545
4,static,0,1000000,16,50,0.0001,3,15.728121,999182.690582204,1,3.105000
4,static,1,1000000,16,50,0.0001,3,56.177400,999182.690582218,1,0.869314
4,static,8,1000000,16,50,0.0001,3,35.572108,999182.690582220,1,1.372868
4,static,32,1000000,16,50,0.0001,3,38.404557,999182.690582219,1,1.271615
4,dynamic,0,1000000,16,50,0.0001,3,205.188719,999182.690582220,1,0.238004
4,dynamic,1,1000000,16,50,0.0001,3,205.832880,999182.690582215,1,0.237260
4,dynamic,8,1000000,16,50,0.0001,3,38.459820,999182.690582223,1,1.269788
4,dynamic,32,1000000,16,50,0.0001,3,44.211715,999182.690582222,1,1.104590
8,static,0,1000000,16,50,0.0001,3,40.991088,999182.690582206,1,1.191377
8,static,1,1000000,16,50,0.0001,3,81.902562,999182.690582211,1,0.596267
8,static,8,1000000,16,50,0.0001,3,44.310738,999182.690582210,1,1.102122
8,static,32,1000000,16,50,0.0001,3,61.609858,999182.690582211,1,0.792662
8,dynamic,0,1000000,16,50,0.0001,3,207.094407,999182.690582223,1,0.235814
8,dynamic,1,1000000,16,50,0.0001,3,180.025564,999182.690582214,1,0.271272
8,dynamic,8,1000000,16,50,0.0001,3,76.292987,999182.690582217,1,0.640109
8,dynamic,32,1000000,16,50,0.0001,3,74.704252,999182.690582215,1,0.653722
16,static,0,1000000,16,50,0.0001,3,13.926631,999182.690582209,1,3.506650
16,static,1,1000000,16,50,0.0001,3,27.239036,999182.690582208,1,1.792862
16,static,8,1000000,16,50,0.0001,3,23.779285,999182.690582208,1,2.053713
16,static,32,1000000,16,50,0.0001,3,21.007525,999182.690582208,1,2.324682
16,dynamic,0,1000000,16,50,0.0001,3,152.547299,999182.690582209,1,0.320136
16,dynamic,1,1000000,16,50,0.0001,3,163.418317,999182.690582206,1,0.298839
16,dynamic,8,1000000,16,50,0.0001,3,35.122177,999182.690582211,1,1.390455
16,dynamic,32,1000000,16,50,0.0001,3,24.383945,999182.690582214,1,2.002786
